task,n_subjects,svm_mean_mean,svm_mean_sd,svm_mean_min,svm_mean_max,svm_mean_95lo,svm_mean_95hi,svm_mean_inter_cv,svm_std_mean,svm_std_sd,svm_std_min,svm_std_max,svm_std_95lo,svm_std_95hi,svm_std_inter_cv,svm_cv_pct_mean,svm_cv_pct_sd,svm_cv_pct_min,svm_cv_pct_max,svm_cv_pct_95lo,svm_cv_pct_95hi,svm_cv_pct_inter_cv,svm_max_mean,svm_max_sd,svm_max_min,svm_max_max,svm_max_95lo,svm_max_95hi,svm_max_inter_cv,svm_win_cv_pct_mean,svm_win_cv_pct_sd,svm_win_cv_pct_min,svm_win_cv_pct_max,svm_win_cv_pct_95lo,svm_win_cv_pct_95hi,svm_win_cv_pct_inter_cv,jerk_mean_mean,jerk_mean_sd,jerk_mean_min,jerk_mean_max,jerk_mean_95lo,jerk_mean_95hi,jerk_mean_inter_cv,jerk_std_mean,jerk_std_sd,jerk_std_min,jerk_std_max,jerk_std_95lo,jerk_std_95hi,jerk_std_inter_cv,gsr_mean_mean,gsr_mean_sd,gsr_mean_min,gsr_mean_max,gsr_mean_95lo,gsr_mean_95hi,gsr_mean_inter_cv,gsr_std_mean,gsr_std_sd,gsr_std_min,gsr_std_max,gsr_std_95lo,gsr_std_95hi,gsr_std_inter_cv,gsr_cv_pct_mean,gsr_cv_pct_sd,gsr_cv_pct_min,gsr_cv_pct_max,gsr_cv_pct_95lo,gsr_cv_pct_95hi,gsr_cv_pct_inter_cv,hr_mean_mean,hr_mean_sd,hr_mean_min,hr_mean_max,hr_mean_95lo,hr_mean_95hi,hr_mean_inter_cv,hr_std_mean,hr_std_sd,hr_std_min,hr_std_max,hr_std_95lo,hr_std_95hi,hr_std_inter_cv,hr_valid_pct_mean,hr_valid_pct_sd,hr_valid_pct_min,hr_valid_pct_max,hr_valid_pct_95lo,hr_valid_pct_95hi,hr_valid_pct_inter_cv,ppg_ir_mean_mean,ppg_ir_mean_sd,ppg_ir_mean_min,ppg_ir_mean_max,ppg_ir_mean_95lo,ppg_ir_mean_95hi,ppg_ir_mean_inter_cv,ppg_ir_std_mean,ppg_ir_std_sd,ppg_ir_std_min,ppg_ir_std_max,ppg_ir_std_95lo,ppg_ir_std_95hi,ppg_ir_std_inter_cv,steps_mean,steps_sd,steps_min,steps_max,steps_95lo,steps_95hi,steps_inter_cv,duration_s_mean,duration_s_sd,duration_s_min,duration_s_max,duration_s_95lo,duration_s_95hi,duration_s_inter_cv
idle_sitting,2,9.9228,0.0517,9.8862,9.9594,9.8214,10.0242,0.5,0.0783,0.0902,0.0145,0.142,-0.0985,0.255,115.2,0.7911,0.9129,0.1456,1.4366,-0.9981,2.5803,115.4,11.4894,1.8288,10.1963,12.7826,7.9051,15.0738,15.9,0.2719,0.3338,0.0359,0.508,-0.3823,0.9262,122.8,0.0167,0.0149,0.0062,0.0272,-0.0124,0.0458,89.0,0.0495,0.0533,0.0119,0.0872,-0.0549,0.1539,107.5,1385.728,175.396,1261.7043,1509.7517,1041.9518,1729.5042,12.7,79.059,36.3752,53.3378,104.7801,7.7636,150.3543,46.0,5.5838,1.9182,4.2274,6.9402,1.8241,9.3436,34.4,75.882,9.7968,68.9546,82.8094,56.6803,95.0838,12.9,3.8851,0.3903,3.6091,4.161,3.1201,4.65,10.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0,113938.8111,39251.2298,86184.0004,141693.6219,37006.4008,190871.2215,34.4,41680.492,58739.3486,145.5002,83215.4837,-73448.6314,156809.6153,140.9,0.0,0.0,0,0,0.0,0.0,,172.081,0.1428,171.98,172.182,171.801,172.361,0.1
idle_standing,2,9.8098,0.1004,9.7388,9.8808,9.6131,10.0066,1.0,0.0843,0.0754,0.031,0.1376,-0.0635,0.232,89.5,0.863,0.7773,0.3134,1.4126,-0.6605,2.3864,90.1,10.6906,0.5018,10.3358,11.0455,9.7071,11.6742,4.7,0.2652,0.2726,0.0724,0.458,-0.2692,0.7996,102.8,0.0168,0.0077,0.0114,0.0223,0.0017,0.0319,45.8,0.047,0.0376,0.0204,0.0736,-0.0267,0.1208,80.0,1481.9403,211.7581,1332.2048,1631.6759,1066.8945,1896.9861,14.3,21.7937,12.8276,12.7233,30.8642,-3.3484,46.9358,58.9,1.5483,1.0868,0.7798,2.3168,-0.5819,3.6785,70.2,71.6048,14.7011,61.2095,82.0,42.7907,100.4189,20.5,0.3063,0.4331,0.0,0.6126,-0.5427,1.1553,141.4,100.0,0.0,100.0,100.0,100.0,100.0,0.0,168539.7457,130262.8714,76429.9861,260649.5054,-86775.4821,423854.9736,77.3,9876.5657,7776.0497,4378.0682,15375.0632,-5364.4917,25117.6231,78.7,0.0,0.0,0,0,0.0,0.0,,112.91,0.2404,112.74,113.08,112.4388,113.3812,0.2
walking_normal,4,10.3582,0.1072,10.2324,10.4901,10.1481,10.5682,1.0,1.5955,0.7208,0.9561,2.6045,0.1828,3.0082,45.2,15.4081,6.9447,9.1148,25.0921,1.7965,29.0197,45.1,16.5148,2.5936,14.6714,20.3391,11.4313,21.5983,15.7,5.509,2.2575,3.4946,8.1472,1.0843,9.9337,41.0,0.324,0.1243,0.2045,0.4935,0.0804,0.5677,38.4,0.5953,0.2431,0.3645,0.926,0.1188,1.0719,40.8,1541.4281,223.1427,1259.1192,1756.2239,1104.0685,1978.7878,14.5,33.2967,14.158,13.0071,43.8848,5.5469,61.0465,42.5,2.0909,0.7101,1.033,2.5057,0.6991,3.4828,34.0,57.6476,7.0262,48.4279,63.6234,43.8763,71.4189,12.2,6.1256,2.606,3.0338,8.4419,1.0178,11.2335,42.5,100.0,0.0,100.0,100.0,100.0,100.0,0.0,88614.4848,6694.7642,82802.1607,96490.6033,75492.747,101736.2226,7.6,1465.2646,1304.8289,354.2519,3201.8861,-1092.2,4022.7292,89.1,279.5,31.8381,250,309,217.0973,341.9027,11.4,172.345,0.5103,171.7,172.82,171.3449,173.3451,0.3
walking_fast,3,10.0012,0.0918,9.9048,10.0876,9.8213,10.1812,0.9,0.7566,0.205,0.5982,0.9881,0.3548,1.1583,27.1,7.5615,2.0326,6.0398,9.8698,3.5776,11.5453,26.9,13.2293,0.6881,12.4962,13.8611,11.8807,14.578,5.2,2.6705,1.0648,1.6237,3.7523,0.5835,4.7574,39.9,0.1677,0.05,0.1332,0.2251,0.0696,0.2658,29.8,0.313,0.0851,0.262,0.4113,0.1462,0.4799,27.2,1600.1168,289.8539,1269.3063,1809.5522,1032.003,2168.2305,18.1,27.7133,13.7372,14.0117,41.4857,0.7884,54.6381,49.6,1.6674,0.5968,1.1039,2.2926,0.4978,2.837,35.8,62.4643,2.2966,60.8404,64.0883,57.963,66.9657,3.7,6.0623,2.5629,4.25,7.8746,1.0389,11.0857,42.3,66.6667,57.735,0.0,100.0,-46.494,179.8273,86.6,142548.2353,103912.6495,74345.0273,262143.0,-61120.5577,346217.0282,72.9,1005.4764,1186.1597,0.0,2313.6573,-1319.3967,3330.3495,118.0,35.0,33.0454,13,73,-29.769,99.769,94.4,111.439,0.6781,110.658,111.878,110.1099,112.7681,0.6
walking_dual_task,4,10.0453,0.0754,9.9509,10.1356,9.8974,10.1931,0.8,1.1676,0.345,0.7532,1.545,0.4915,1.8438,29.5,11.6424,3.5144,7.4315,15.5263,4.7542,18.5306,30.2,14.5879,1.1192,13.655,16.1812,12.3942,16.7816,7.7,3.9466,1.4421,2.4306,5.5462,1.1202,6.773,36.5,0.2327,0.0639,0.1484,0.2895,0.1074,0.358,27.5,0.4582,0.0896,0.3753,0.5475,0.2826,0.6338,19.6,1570.8115,274.4464,1259.0505,1843.4116,1032.8965,2108.7265,17.5,39.556,36.8231,5.6226,89.3158,-32.6174,111.7294,93.1,2.3184,2.0133,0.4466,5.0914,-1.6277,6.2645,86.8,69.2252,8.8887,58.0623,78.9756,51.8033,86.647,12.8,3.2046,2.3705,0.3115,5.7445,-1.4416,7.8508,74.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0,91674.1401,6757.2729,82106.5876,97816.5825,78429.8852,104918.3949,7.4,998.4881,927.0456,191.1754,2331.4947,-818.5213,2815.4974,92.8,46.75,19.9562,26,74,7.6358,85.8642,42.7,50.925,20.9726,39.2,82.28,9.8188,92.0312,41.2
turning,4,9.9602,0.0647,9.8901,10.0464,9.8333,10.0871,0.6,0.9746,0.1061,0.8822,1.0975,0.7666,1.1825,10.9,9.7808,1.0137,8.9198,10.9241,7.7939,11.7676,10.4,15.227,0.6398,14.4296,15.8025,13.973,16.481,4.2,2.6075,0.1707,2.3569,2.7173,2.2728,2.9422,6.5,0.2325,0.0322,0.1973,0.2676,0.1694,0.2956,13.9,0.4333,0.072,0.3497,0.5014,0.2921,0.5745,16.6,1666.4864,308.9883,1206.6335,1859.5209,1060.8693,2272.1034,18.5,22.6332,17.9906,10.2761,48.6281,-12.6284,57.8948,79.5,1.3129,0.9208,0.5814,2.654,-0.4919,3.1176,70.1,67.8676,4.0057,64.6195,73.6914,60.0165,75.7187,5.9,4.2797,4.5531,0.0,10.5587,-4.6443,13.2037,106.4,86.924,26.1521,47.6959,100.0,35.6659,138.182,30.1,98521.756,31837.4015,78528.4902,145703.3731,36120.4491,160923.063,32.3,23298.8857,45339.7662,0.0,91304.68,-65567.0561,112164.8275,194.6,124.75,16.9975,106,144,91.4348,158.0652,13.6,111.9115,0.794,110.983,112.62,110.3553,113.4677,0.7
balance_standing,4,9.8181,0.0902,9.7233,9.9158,9.6414,9.9948,0.9,0.1178,0.0866,0.0433,0.2418,-0.052,0.2875,73.6,1.1941,0.8691,0.4458,2.4389,-0.5094,2.8975,72.8,10.8421,0.7058,10.1897,11.7919,9.4588,12.2255,6.5,0.4011,0.3104,0.0989,0.7612,-0.2073,1.0095,77.4,0.0249,0.0153,0.0116,0.0459,-0.005,0.0548,61.3,0.0605,0.0346,0.0241,0.1069,-0.0074,0.1283,57.3,1615.8299,265.3445,1234.2802,1819.8144,1095.7547,2135.9051,16.4,41.1256,38.6995,4.4414,82.2756,-34.7254,116.9766,94.1,2.8139,2.7309,0.2511,5.328,-2.5387,8.1665,97.1,73.9049,17.189,61.2419,93.4727,40.2143,107.5954,23.3,1.8262,2.6239,0.0,4.8331,-3.3167,6.9691,143.7,75.0,50.0,0.0,100.0,-23.0,173.0,66.7,127519.5576,89950.3741,76839.185,262143.0,-48783.1756,303822.2907,70.5,323.7183,403.8315,0.0,834.6071,-467.7915,1115.2281,124.7,0.0,0.0,0,0,0.0,0.0,,112.0892,0.63,111.16,112.54,110.8545,113.324,0.6
sit_to_stand,4,9.887,0.1032,9.7433,9.9629,9.6847,10.0894,1.0,1.3402,0.2902,1.0403,1.677,0.7714,1.9089,21.7,13.5461,2.8884,10.6775,16.9722,7.8848,19.2073,21.3,21.4851,3.6813,17.4228,25.7964,14.2697,28.7004,17.1,3.7696,0.3859,3.2645,4.2016,3.0132,4.526,10.2,0.186,0.0433,0.1378,0.2313,0.1012,0.2708,23.3,0.5812,0.1583,0.4237,0.7967,0.271,0.8915,27.2,1571.4584,218.5728,1332.5417,1768.9387,1143.0557,1999.8612,13.9,51.5907,35.4537,24.9029,103.7006,-17.8986,121.0799,68.7,3.4216,2.5761,1.4275,7.202,-1.6275,8.4708,75.3,72.7678,10.3047,61.6827,84.3883,52.5706,92.9649,14.2,1.2006,1.7122,0.0,3.6318,-2.1552,4.5565,142.6,89.9389,20.1222,59.7555,100.0,50.4993,129.3785,22.4,97243.9892,25523.6463,80162.0,134921.5509,47217.6425,147270.3359,26.2,23522.2931,44705.9208,0.0,90569.6181,-64101.3116,111145.8978,190.1,0.0,0.0,0,0,0.0,0.0,,67.315,30.5103,44.16,108.64,7.5149,127.1151,45.3
hand_fine_motor,3,9.8968,0.0607,9.8425,9.9623,9.7779,10.0157,0.6,1.0989,0.2219,0.9164,1.346,0.6639,1.5339,20.2,11.0949,2.17,9.3108,13.5106,6.8417,15.3481,19.6,14.8657,1.2148,13.8134,16.1951,12.4848,17.2467,8.2,4.6618,0.4645,4.1257,4.9427,3.7514,5.5722,10.0,0.1979,0.0445,0.1544,0.2433,0.1107,0.2851,22.5,0.409,0.0942,0.3098,0.497,0.2245,0.5936,23.0,1651.98,286.9114,1344.7174,1912.8978,1089.6337,2214.3263,17.4,50.6348,11.8203,38.5696,62.194,27.467,73.8026,23.3,3.1899,1.2591,2.271,4.6251,0.722,5.6577,39.5,73.4874,6.0051,67.0,78.8516,61.7174,85.2574,8.2,1.9601,1.9592,0.0,3.9183,-1.8799,5.8001,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0,86582.1396,6309.5486,80162.0,92774.953,74215.4243,98948.8549,7.3,1376.3667,1488.2616,0.0,2955.6917,-1540.6259,4293.3594,108.1,44.6667,29.7041,21,78,-13.5534,102.8867,66.5,69.433,13.6128,59.56,84.962,42.7519,96.1141,19.6
writing,2,9.8442,0.0442,9.813,9.8755,9.7576,9.9309,0.4,0.2787,0.0513,0.2424,0.315,0.1782,0.3792,18.4,2.8322,0.5338,2.4548,3.2096,1.7861,3.8784,18.8,11.005,0.0053,11.0012,11.0088,10.9946,11.0154,0.0,0.9345,0.3986,0.6527,1.2163,0.1533,1.7157,42.6,0.0886,0.0143,0.0785,0.0987,0.0606,0.1166,16.1,0.1673,0.0229,0.1511,0.1835,0.1223,0.2123,13.7,1474.172,305.8409,1257.9098,1690.4342,874.7239,2073.6201,20.7,21.1449,11.4308,13.0621,29.2278,-1.2595,43.5494,54.1,1.5481,1.0966,0.7727,2.3235,-0.6012,3.6974,70.8,76.3417,4.0343,73.489,79.1944,68.4344,84.249,5.3,3.0864,0.8414,2.4914,3.6814,1.4372,4.7356,27.3,100.0,0.0,100.0,100.0,100.0,100.0,0.0,87909.8587,2719.5485,85986.8475,89832.8699,82579.5436,93240.1737,3.1,818.1399,716.0331,311.828,1324.4517,-585.285,2221.5647,87.5,0.0,0.0,0,0,0.0,0.0,,35.118,2.6842,33.22,37.016,29.857,40.379,7.6
